Sample,(30-31),(30-32),d(4-10),d(3-9),d(30-10),dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff (4-10),diff (3-9),diff (31-4),Pol iso,Pol aniso,B1,B5,L,Yield
3,3199.2933,3829.701,1.927753823,1.469710928,1.970295615,-2.3892,-1.6808,-1.723,3.3915,-0.23221,-0.19674,-0.14283,-0.23254,-0.29856,-0.01476,0.24749,0.25314,0.99865,-0.93322,0.55194,0.52553,1.23119,0.39597,0.78448,282.801,124.213,1.94,3.28,9.51,94.5
7,3234.6867,3832.1173,1.916657311,1.483036277,1.971771125,-2.5137,-1.5679,-1.8842,3.511,-0.23678,0.00338,-0.12954,-0.22791,-0.30618,-0.21752,-0.71367,0.25145,0.99679,-0.93296,0.55331,0.52556,1.2247,0.38099,0.78122,279.531,116.833,2.24,4.33,9.46,92.5
8,3204.3717,3831.3097,1.914612995,1.483617471,1.971001341,-2.1811,-1.5641,-1.7564,3.2076,-0.2377,-0.20829,-0.12941,-0.23364,-0.29966,-0.22493,0.24915,0.25614,0.99721,-0.93387,0.55211,0.5255,1.23085,0.38555,0.78575,279.104,113.392,2.19,4.22,9.47,93
2,3191.2519,3830.2479,1.928877571,1.465836496,1.969962624,-2.0553,-2.4052,-1.6373,3.5623,-0.32693,-0.17853,-0.16544,-0.22965,-0.34376,0.35639,0.24835,0.25503,1.00083,-0.93327,0.55143,0.52545,1.23048,0.42047,0.78108,290.282,137.378,1.95,3.29,9.49,95.5
4,3213.1656,3832.2243,1.925135861,1.473716636,1.97120524,-7.8757,-3.4505,-1.7069,8.7662,-0.21402,-0.19783,-0.11645,-0.23442,-0.27705,-0.15583,0.25176,0.24819,0.99307,-0.9337,0.55265,0.5269,1.22749,0.36464,0.78707,280.164,120.949,1.98,3.28,9.47,91.5
1,3208.3879,3828.9069,1.927765411,1.472156182,1.970350582,-2.335,-1.7755,-1.7123,3.3965,-0.23576,-0.20411,-0.13347,-0.24263,-0.29793,-0.22482,0.24783,0.25159,0.99695,-0.93285,0.55255,0.52572,1.23958,0.38506,0.79518,268.076,112.586,1.96,3.27,9.49,95
9,3191.0773,3828.4053,1.942300813,1.429658678,1.971416388,-2.4561,-1.2011,-1.4531,3.0962,-0.2118,-0.05317,-0.09944,-0.2464,-0.29487,-0.22565,-0.19288,0.24292,0.99953,-0.93343,0.55109,0.52568,1.24593,0.34236,0.79749,288.676,141.704,1.7,4.43,9.46,90.5
10,3178.3844,3828.6808,1.932106508,1.465384803,1.972343688,-3.4585,-0.3795,-1.8027,3.9186,-0.23745,-0.18811,-0.1587,-0.2401,-0.30125,-0.21547,0.27121,0.48662,0.99172,-0.9345,0.55065,0.52594,1.23182,0.64532,0.79075,263.661,112.627,1.7,3.14,9.43,91.5
25,3202.249,3827.673,1.955095778,1.455413178,1.978498789,-2.4241,-0.9054,-1.9801,3.2584,-0.23754,-0.19315,-0.18517,-0.2432,-0.29475,-0.20957,0.26609,0.68807,0.99858,-0.93179,0.54723,0.52615,1.24178,0.87324,0.79043,249.6,93.7694,1.89,3.14,8.28,13.5
27,3211.8276,3825.5004,1.941990753,1.422930283,1.975079314,-1.5298,-1.4277,-1.4683,2.5562,-0.22224,-0.25177,0.10483,-0.29028,-0.28225,-0.24444,0.25444,-0.14509,0.97324,-0.9296,0.5509,0.526,1.26352,-0.24992,0.84118,251.907,99.8671,1.7,3.15,8.64,70.5
24,3232.9015,3837.8864,1.914158801,1.401701626,1.978474935,-2.9398,0.2156,-3.0144,4.216,-0.23158,-0.25511,0.25471,-0.32673,-0.29244,-0.25728,0.26774,-0.51872,1.00276,-0.94173,0.55633,0.52383,1.32949,-0.77343,0.88306,265.664,86.6641,1.7,5.22,9.57,7
23,3269.8377,3824.9675,1.923667856,1.472616023,1.975390199,-1.4624,-1.4415,-1.6521,2.6355,-0.23824,-0.20172,-0.13474,-0.24006,-0.30117,-0.22635,0.24844,0.28189,1.02009,-0.9354,0.55504,0.52356,1.26015,0.41663,0.7951,313.697,159.343,1.98,4.62,11.49,19.5
5,3211.6984,3832.5996,1.926995134,1.473598752,1.971491904,-5.1622,-4.4512,-1.7618,7.0403,-0.20404,-0.20531,-0.10978,-0.24476,-0.25641,-0.15871,0.25064,0.24627,0.9944,-0.93335,0.55126,0.52676,1.23916,0.35605,0.79602,285.322,134.739,1.96,3.28,9.48,90
6,3168.4815,3827.236,1.930264447,1.465488679,1.970104402,-5.1814,1.4381,-1.6622,5.6284,-0.26595,-0.18404,-0.16094,-0.23149,-0.33403,0.18665,0.24964,0.25437,1.0025,-0.93444,0.55138,0.52543,1.23399,0.41531,0.78287,311.819,167.687,1.96,3.29,9.5,81
