Sample,(30-31),"d(4, 10)","d(3, 9)","d(30, 10)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff (4-10),diff (3-9),diff (31-4),Pol iso,Pol aniso,B1,B5,L,Yield
3,3400.9287,1.933794615,1.470020782,1.961697798,-2.1087,-2.1949,-1.3992,3.3499,-0.23668,-0.19681,-0.14107,-0.24309,-0.29561,-0.02547,0.24835,0.25199,1.04152,-0.76269,0.55829,-0.31122,1.28461,0.39306,0.80138,293.079,114.894,1.94,3.28,9.51,94.5
7,3435.4246,1.922808513,1.483237427,1.965507931,-2.287,-2.0936,-1.6525,3.5135,-0.24167,0.00259,-0.12825,-0.23934,-0.30225,-0.22762,-0.71438,0.25151,1.04077,-0.7621,0.55923,-0.31152,1.28011,0.37976,0.79857,289.654,109.627,2.24,4.33,9.46,92.5
8,3430.8682,1.918059557,1.484713648,1.963277009,-1.9467,-2.1507,-1.4702,3.2522,-0.24536,-0.20934,-0.12645,-0.24145,-0.29278,-0.2385,0.25042,0.2552,1.03814,-0.76227,0.55965,-0.3114,1.27959,0.38165,0.8011,289.51,104.156,2.19,4.22,9.47,93
2,3392.3861,1.936195003,1.466038438,1.962771645,-1.7457,-2.9294,-1.3589,3.6709,-0.32969,-0.17891,-0.16394,-0.24177,-0.34294,0.34856,0.24897,0.25486,1.04504,-0.76228,0.55657,-0.31147,1.28681,0.4188,0.79834,300.413,129.451,1.95,3.29,9.49,95.5
4,3293.1417,1.925157674,1.472632591,1.968406589,-7.314,-4.1164,-1.8261,8.5892,-0.21714,-0.21188,-0.11755,-0.23169,-0.2252,-0.16187,0.24996,0.24233,1.03722,-0.76935,0.5622,-0.31079,1.26891,0.35988,0.79389,288.972,121.982,1.98,3.28,9.47,91.5
1,3406.7725,1.934291608,1.472354009,1.962790205,-2.0679,-2.2962,-1.4339,3.4066,-0.23945,-0.20479,-0.13037,-0.25235,-0.2946,-0.23603,0.24816,0.25166,1.04088,-0.76232,0.55798,-0.31147,1.29323,0.38203,0.81033,278.176,105.149,1.96,3.27,9.49,95
9,3396.8827,1.949147263,1.430379042,1.964568777,-2.1354,-1.7474,-1.2336,3.0224,-0.21419,-0.05407,-0.09652,-0.25719,-0.29459,-0.23488,-0.19066,0.24277,1.044,-0.76244,0.55565,-0.31114,1.30119,0.33929,0.81284,298.399,134.93,1.7,4.43,9.46,90.5
10,3380.3538,1.939618638,1.46550524,1.964906119,-3.2196,-0.9078,-1.4498,3.6458,-0.24103,-0.18833,-0.15539,-0.25172,-0.30002,-0.22674,0.27261,0.48671,1.0359,-0.76232,0.55596,-0.31165,1.28762,0.6421,0.80768,274.012,104.303,1.7,3.14,9.43,91.5
25,3414.7608,1.962621993,1.455497808,1.965598972,-2.1483,-1.5652,-1.3162,2.9661,-0.24214,-0.19163,-0.1809,-0.24896,-0.297,-0.22527,0.26786,0.68492,1.03993,-0.75909,0.55503,-0.30802,1.28889,0.86582,0.80399,259.862,84.8919,1.89,3.14,8.28,13.5
27,3439.4649,1.945754183,1.42406427,1.967064157,-1.2029,-1.9181,-1.1852,2.5555,-0.22752,-0.25097,0.10944,-0.2962,-0.27677,-0.26053,0.25517,-0.1453,1.01286,-0.7592,0.55817,-0.31242,1.30906,-0.25474,0.85437,261.941,91.1735,1.7,3.15,8.64,70.5
24,3812.5262,1.909213711,1.405059098,1.995107854,-3.6816,1.1689,-2.0712,4.3829,-0.2315,-0.25932,0.25378,-0.31784,-0.2584,-0.23887,0.26366,-0.51447,1.02864,-0.74973,0.52605,-0.30848,1.34648,-0.76825,0.84389,276.444,79.3865,1.7,5.22,9.57,7
23,3415.5342,1.927112243,1.47227564,1.976023445,-1.2356,-1.3896,-1.6035,2.4553,-0.24125,-0.20403,-0.13302,-0.24523,-0.2956,-0.23679,0.24885,0.27972,1.05793,-0.77283,0.55577,-0.30772,1.30316,0.41274,0.801,324.044,154.299,1.98,4.62,11.49,19.5
5,3407.6645,1.933893146,1.473879996,1.964128269,-4.8461,-4.9783,-1.4387,7.095,-0.20753,-0.2055,-0.1075,-0.25574,-0.2552,-0.16868,0.25111,0.24591,1.03806,-0.76191,0.55657,-0.31157,1.2938,0.35341,0.81231,295.395,126.644,1.96,3.28,9.48,90
6,3390.4198,1.936979871,1.465761772,1.962256526,-4.8384,0.9532,-1.3812,5.1211,-0.27038,-0.18517,-0.15998,-0.24276,-0.33086,0.17801,0.25057,0.25412,1.04669,-0.76328,0.55707,-0.31158,1.28945,0.4141,0.79983,321.903,159.729,1.96,3.29,9.5,81
